instruction,action
"""Approaching the roundabout, yield to the traffic already in the circle and take the second exit. Continue straight and look for the bright blue building on the right side for your destination.""",['Take Exit']
"""Approaching the roundabout, yield to incoming traffic, proceed to the second exit, and then continue straight on the tree-lined avenue until you reach the historic red brick church on your right.""","['Take Exit', 'Go Straight']"
"""Approaching the roundabout, yield to any vehicles already inside, then take the second exit towards the downtown area. Look out for the statue of the city's founder on your right as you exit the roundabout.""",['Take Exit']
"""Approaching the roundabout, yield to oncoming traffic and take the second exit towards Green Hills Park. Look for the red brick entrance gate on the right side to confirm you're on the correct path.""",['Take Exit']
"""Approaching the roundabout, take the second exit and continue on Main Street. Look out for the yellow building with a clock tower on your right - that's where you'll need to make a left turn.""",['Take Exit']
"""Approaching the traffic circle, yield to vehicles already inside and take the second exit towards the city center. Look out for pedestrians crossing at the crosswalk.""",['Take Exit']
"""Approaching the roundabout, yield to traffic already in the circle and take the second exit to continue on the main road. Look out for pedestrians crossing at the crosswalk.""",['Take Exit']
"""Approaching the roundabout, yield to oncoming traffic, and take the second exit to continue on the main road. You'll pass a red-brick church on your right as you navigate the roundabout.""",['Take Exit']
"""Approaching the roundabout, yield to any vehicles already in the circle, and take the second exit to continue on Main Street. Look out for the fountain landmark on your right as a reference point.""",['Take Exit']
"""Approaching the roundabout, yield to oncoming traffic and take the second exit to continue on Main Street. Watch out for pedestrians crossing at the crosswalk.""",['Take Exit']
"""Proceed through the traffic circle and take the second exit towards downtown. Look for the tall clock tower on your right to help navigate.""",['Take Exit']
"""Approaching the roundabout, yield to any incoming traffic from the left and then take the second exit to continue on Main Street. Look for the blue sign indicating the local hospital on your right as a landmark.""",['Take Exit']
"""Approaching the traffic circle, yield to vehicles already inside and take the second exit onto Elm Street. Look out for pedestrians crossing at the crosswalk ahead.""",['Take Exit']
"""Approaching the roundabout, yield to the traffic already inside, then take the second exit leading towards the residential area. Look out for the yellow house on the left to confirm you've made the correct turn.""",['Take Exit']
"""Approach the traffic circle and take the second exit, heading towards the mountains. Stay in the left lane and prepare to yield to oncoming traffic.""",['Take Exit']
"""Approaching the roundabout, yield to oncoming traffic and take the third exit to continue on Main Street. Watch out for pedestrians crossing at the crosswalk.""",['Take Exit']
"""Follow the curve to the left as you approach the traffic circle, yield to oncoming traffic, and take the second exit.""",['Take Exit']
"""Approach the roundabout and take the second exit, heading towards the tall office building with a glass facade on your right. Watch out for pedestrians crossing the street.""",['Take Exit']
"""Approaching the roundabout, yield to oncoming traffic from your left and take the second exit. Look out for the blue landmark building on the right to confirm you're on the correct path.""",['Take Exit']
