instruction,action
"""Enter the highway and LaneFollow the middle lane until you reach the third exit.""",['LaneFollow']
"""Enter the highway and LaneFollow the right lane for the next 5 miles until you reach your exit.""",['LaneFollow']
"""Continue on the highway and LaneFollow the vehicle in front of you until you reach the next exit.""",['LaneFollow']
"""Enter the highway and LaneFollow until you reach your exit.""",['LaneFollow']
"""Continue LaneFollow on the highway for the next 5 miles until you reach the exit for your destination.""",['LaneFollow']
"""Enter the highway and LaneFollow the traffic flow until you reach your exit.""",['LaneFollow']
"""Enter the highway and LaneFollow the traffic until you reach your exit.""",['LaneFollow']
"""Enter the highway and LaneFollow the middle lane until you reach your exit.""",['LaneFollow']
"""Stay in the middle lane and LaneFollow the car ahead as you continue on the highway for the next 10 miles.""",['LaneFollow']
"""Once on the highway, LaneFollow the middle lane until you reach the next exit.""",['LaneFollow']
"""Enter the highway and LaneFollow the middle lane for the next 10 miles until you reach your exit.""",['LaneFollow']
"""Enter the highway and LaneFollow the traffic in the middle lane for the next 10 miles.""",['LaneFollow']
"""Enter the highway and LaneFollow the right lane for the next 5 miles until you reach the exit for your destination.""",['LaneFollow']
"""Enter the highway and LaneFollow the traffic until you reach the city exit.""",['LaneFollow']
"""Enter the highway and LaneFollow the middle lane for the next 5 miles.""",['LaneFollow']
"""Enter the highway and LaneFollow the traffic flow until you reach the next exit.""",['LaneFollow']
"""Continue LaneFollow on the highway for the next 5 miles.""",['LaneFollow']
"""Continue on the highway and LaneFollow the traffic ahead until you reach the next exit.""",['LaneFollow']
"""Continue on the highway and LaneFollow as the road curves to the right.""",['LaneFollow']
"""Enter the highway and LaneFollow the vehicles ahead of you until you reach the next exit.""",['LaneFollow']
"""Merge onto the highway and LaneFollow the traffic flow for the next 10 miles.""",['LaneFollow']
"""Enter the highway and LaneFollow the traffic in the middle lane until you reach your exit.""",['LaneFollow']
"""Continue LaneFollow on the highway for the next 10 miles.""",['LaneFollow']
"""Enter the highway and LaneFollow as you follow the traffic flow.""",['LaneFollow']
"""Enter the highway and LaneFollow the vehicles ahead until you reach the next exit.""",['LaneFollow']
"""Make a left turn at the upcoming junction.""",['Left']
"""Make a left turn at the upcoming roundabout.""",['Left']
"""Make a left turn at the stop sign.""",['Left']
"""Make a left turn at the upcoming traffic circle.""",['Left']
"""Take a left turn at the upcoming roundabout.""",['Left']
"""Make a left turn at the upcoming stop sign.""",['Left']
"""Make a left turn at the stop sign ahead.""",['Left']
"""Make a sharp left turn at the upcoming roundabout.""",['Left']
"""Make a left turn at the upcoming fork in the road.""",['Left']
"""Make a left turn at the upcoming intersection.""",['Left']
"""Make a sharp left turn at the stop sign ahead.""",['Left']
"""Take the next left turn onto Main Street.""",['Left']
"""Take the second left onto Main Street.""",['Left']
"""Make a sharp left turn at the upcoming fork in the road.""",['Left']
"""Take a left turn at the upcoming stop sign.""",['Left']
"""Take a left turn at the stop sign ahead.""",['Left']
"""Take a left turn at the upcoming junction.""",['Left']
"""Make a sharp left turn onto Main Street.""",['Left']
"""Make a sharp left turn onto Main Street at the upcoming junction.""",['Left']
"""Make a sharp left turn at the upcoming stop sign.""",['Left']
"""Take the next left turn onto Elm Street.""",['Left']
"""Make a sharp left turn onto Elm Street.""",['Left']
"""Make a sharp left turn at the T-junction ahead.""",['Left']
"""Make a sharp left turn at the stop sign.""",['Left']
"""Take a left turn at the stop sign.""",['Left']
"""Make a right turn onto Main Street after the gas station.""",['Right']
"""Make a right turn onto Main Street after the stop sign.""",['Right']
"""Make a sharp right turn onto the highway ramp.""",['Right']
"""Make a right turn onto Main Street after the bridge.""",['Right']
"""Take the second right onto Main Street.""",['Right']
"""Make a right turn onto the highway ramp.""",['Right']
"""Make a right turn onto Main Street.""",['Right']
"""Make a sharp right turn onto Main Street.""",['Right']
"""Make a sharp right turn onto Main Street after the stop sign.""",['Right']
"""Make a right turn onto Main Street after passing the gas station.""",['Right']
"""Take the next right onto Main Street.""",['Right']
"""Make a right turn onto Elm Street after the stop sign.""",['Right']
"""Make a right turn onto Main Street at the stop sign.""",['Right']
"""Make a right turn onto Main Street after the second traffic light.""",['Right']
"""Make a right turn onto the highway at the upcoming exit.""",['Right']
"""Make a sharp right turn onto Maple Street.""",['Right']
"""Take a right onto Main Street after the stop sign.""",['Right']
"""Take the second right onto Maple Street.""",['Right']
"""Take a right turn onto Main Street after the stop sign.""",['Right']
"""Make a right turn onto the highway ramp ahead.""",['Right']
"""Make a right turn onto the highway at the upcoming ramp.""",['Right']
"""Make a sharp right turn onto Main Street after the bridge.""",['Right']
"""Make a right turn onto Main Street at the upcoming junction.""",['Right']
"""Take a right turn onto Main Street after the bridge.""",['Right']
"""Take a right turn onto the highway ramp ahead.""",['Right']
"""Continue straight on the highway for the next 10 miles.""",['Straight']
"""Continue straight on the highway for the next 5 miles.""",['Straight']
"""Continue driving straight on the highway for the next 10 miles.""",['Straight']
"""Continue driving straight on this road for 2 miles until you reach the roundabout.""",['Straight']
"""Continue straight on the highway for the next five miles.""",['Straight']
"""Continue driving straight on Main Street for two miles until you reach the roundabout.""",['Straight']
"""Continue straight on the highway for 5 miles until you reach the next exit.""",['Straight']
"""Continue driving straight on this road for another 2 miles.""",['Straight']
"""Continue driving straight for two miles until you reach the roundabout.""",['Straight']
"""Continue straight on the highway for 5 miles until you reach the exit.""",['Straight']
"""Continue driving straight on the highway for the next 5 miles.""",['Straight']
"""Continue straight on the highway for another 5 miles.""",['Straight']
"""Continue driving straight for two miles, then take the next left turn.""",['Straight']
"""Continue straight on the highway for 2 miles.""",['Straight']
"""Continue driving straight on this road for the next mile.""",['Straight']
"""Continue driving straight on the highway for another 5 miles.""",['Straight']
"""Continue driving straight on Main Street for two miles.""",['Straight']
"""Continue driving straight on Main Street for 2 miles.""",['Straight']
"""Continue driving straight on this road for another mile until you reach the roundabout.""",['Straight']
"""Continue driving straight on Main Street for the next 2 miles.""",['Straight']
"""Continue driving straight on this road for another mile.""",['Straight']
"""Continue driving straight on this road for two miles, then turn left at the gas station.""",['Straight']
"""Continue driving straight on Main Street for three more blocks.""",['Straight']
"""Continue driving straight on Main Street for 2 miles until you reach the roundabout.""",['Straight']
"""Continue driving straight on Main Street for two miles, then turn left at the third traffic light.""",['Straight']
